dataset,K,lambda,stability,stability_se,avg_metric,std_metric,is_classification
german,5,0.01,0.05315661926914972,0.0041597091223962495,0.687333341439565,0.0038758402197702005,True
german,5,0.02,0.05315469637595733,0.004160646200196949,0.687333341439565,0.0038758402197702005,True
german,5,0.05,0.053159943651610524,0.004161760284380023,0.6869333426157633,0.003855145362702212,True
german,5,0.1,0.053132102645778716,0.0041618241594991385,0.6866666754086812,0.003910090511192875,True
german,5,0.2,0.05308999580803312,0.004162067523556557,0.6864000101884206,0.003517566235652416,True
german,5,0.5,0.05297528314177805,0.004139892203490282,0.68613334496816,0.0033836137552437995,True
german,5,1.0,0.05287338188118522,0.00415960613812606,0.6857333421707154,0.003957544844451989,True
german,7,0.0,0.043081744591788866,0.0028603340590925464,0.6868000109990438,0.0032903810165407586,True
german,7,0.005,0.043076993869124454,0.0028590430203376815,0.6868000109990438,0.0032903810165407586,True
german,7,0.01,0.04307515883654458,0.002857639754761865,0.6868000109990438,0.0032903810165407586,True
german,7,0.02,0.04306758681125921,0.0028539225531703967,0.6866666773955027,0.003319963995750072,True
german,7,0.05,0.04305398814985401,0.00285334387176253,0.6865333457787831,0.0031804889034586247,True
german,7,0.1,0.04305249690212862,0.002854875220125534,0.6865333457787831,0.0031804889034586247,True
german,7,0.2,0.043010336626874854,0.002850174125593038,0.6866666793823242,0.0031552355119396094,True
german,7,0.5,0.042954148445047434,0.0028468909036247943,0.6862666765848796,0.0033757203427228414,True
german,7,1.0,0.04290839719704574,0.002857068913988858,0.6848000129063924,0.0033306637590111237,True
german,10,0.0,0.036154540720112115,0.0019376615601421376,0.6856000085671743,0.003946298176466345,True
german,10,0.005,0.03615377597712827,0.0019381602734808503,0.6856000085671743,0.003946298176466345,True
german,10,0.01,0.03615238651848092,0.0019379565141427104,0.6856000085671743,0.003946298176466345,True
german,10,0.02,0.03614959777984032,0.0019382848780233656,0.6856000085671743,0.003946298176466345,True
german,10,0.05,0.036158752151645726,0.0019388836956411122,0.6856000085671743,0.003946298176466345,True
german,10,0.1,0.03615973088505797,0.001941098140416997,0.6854666749636332,0.004063925773146308,True
german,10,0.2,0.03614066979318491,0.0019384720934530564,0.6854666769504547,0.003930502214826,True
german,10,0.5,0.03611023300493528,0.0019415533917962746,0.6852000117301941,0.0038850113830286746,True
german,10,1.0,0.036036873081320156,0.0019404186156885322,0.6849333465099334,0.0036781636127808065,True
